id,name,mimeType,size,modifiedTime,path,parent,type,subtype,title,extension
1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,Bryant letter.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,18792,2025-11-19T18:57:42.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/TIGER,TIGER,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Bryant letter,docx
1pVEA6GdDjeSq27e_Zm7mln7v7FsCZ-X8,Close_out Documents Checklist Template.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,20852,2025-11-19T18:57:42.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/TIGER,TIGER,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Close_out Documents Checklist Template,docx
1sy3WFzouRiyLzPSuAOR95316VCOm_MV7,Bangor chamber newsletter  searsport bond.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,23549,2025-11-19T18:57:41.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport/Searsport FOAA,Searsport FOAA,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Bangor chamber newsletter  searsport bond,docx
1yDgu_63Go7069ZHQPslS9oz498bF6Bwu,millinocket letter of support for searsport dredging.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,34970,2025-11-19T18:57:41.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport/Searsport FOAA,Searsport FOAA,application,vnd.openxmlformats-officedocument.wordprocessingml.document,millinocket letter of support for searsport dredging,docx
1uf_ZiGvi29USN-ShKt8-DuaW8A_kU77l,Searsport RFEI.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,7360369,2025-11-19T18:57:37.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport,Searsport,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Searsport RFEI,docx
1GqmbUYuP_x7-axWH4ReA7X_oIOD3Z151,Searsport RFEI vJH  080509 Final.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,4033053,2025-11-19T18:57:36.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport,Searsport,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Searsport RFEI vJH  080509 Final,docx
1Kc8zAkaGplXGNAQzLLUu_E7eLG8LbCy_,Searsport RFEI v2  080509 Final.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,3962720,2025-11-19T18:57:36.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport,Searsport,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Searsport RFEI v2  080509 Final,docx
17bbu9m_drUCFbZlSCdM159KZXH06iu0q,Sears Island v3.1.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,688451,2025-11-19T18:57:34.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport,Searsport,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Sears Island v3.1,docx
1Lta_NxLdXaFkhkYzHN091bGbb-5APAMk,Questions on Mack Point Searsport dredging.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,24964,2025-11-19T18:57:34.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport,Searsport,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Questions on Mack Point Searsport dredging,docx
1l4b_ZO3e9A16ylP-7n7NEoIt4DQvGuGp,Port Development.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,22497,2025-11-19T18:57:32.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport,Searsport,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Port Development,docx
1klVgc-iAwIBrkFW5hO5wVm8zu66rjozD,Notifications for Public Information Meeting for Searsport Channel Improvement Project.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,21267,2025-11-19T18:57:32.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport,Searsport,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Notifications for Public Information Meeting for Searsport Channel Improvement Project,docx
1ZsrwKmlwAsL-lBRBQpc6xH3G1HIO9UvR,DEP petition.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,20398,2025-11-19T18:57:29.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport,Searsport,application,vnd.openxmlformats-officedocument.wordprocessingml.document,DEP petition,docx
1Jw5acxD0JvJgfNZgHNL52_-AqHAereZJ,Bangor chamber newsletter  searsport bond.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,20716,2025-11-19T18:57:29.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport,Searsport,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Bangor chamber newsletter  searsport bond,docx
1ILUcUSQBk6kUGZasvg1BxzVw7N9sZVPx,An Alternative that Isn.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,22393,2025-11-19T18:57:28.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport,Searsport,application,vnd.openxmlformats-officedocument.wordprocessingml.document,An Alternative that Isn,docx
