clean_words,NF,id,document count
term,0.03382663847780127,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
sheet,0.006342494714587738,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
expression,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
interest,0.004228329809725159,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
maine,0.008456659619450317,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
port,0.006342494714587738,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
authority,0.004228329809725159,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
mpa,0.048625792811839326,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
body,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
corporate,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
politic,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
state,0.004228329809725159,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
marine,0.02748414376321353,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
atlantic,0.02536997885835095,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
inc,0.004228329809725159,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
canadian,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
crown,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
corp,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
pursue,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
negotiation,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
definitive,0.006342494714587738,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
lease,0.03382663847780127,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
purchase,0.012684989429175475,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
agreement,0.014799154334038054,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
base,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
set,0.006342494714587738,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
forth,0.006342494714587738,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
shall,0.035940803382663845,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
establish,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
bind,0.004228329809725159,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
party,0.006342494714587738,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
review,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
approve,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
sole,0.004228329809725159,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
discretion,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
write,0.006342494714587738,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
incorporate,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
condition,0.010570824524312896,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
obligation,0.006342494714587738,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
duly,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
execute,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
deliver,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
legal,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
right,0.006342494714587738,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
property,0.008456659619450317,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
subject,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
bar,0.004228329809725159,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
harbor,0.004228329809725159,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
ferry,0.012684989429175475,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
terminal,0.006342494714587738,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
locate,0.004228329809725159,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
eden,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
st,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
contain,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
approximately,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
acre,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
land,0.006342494714587738,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
fully,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
tax,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
map,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
lot,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
together,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
fixture,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
personal,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
float,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
wharf,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
dock,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
gangway,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
thereon,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
associate,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
therewith,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
necessary,0.006342494714587738,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
operation,0.006342494714587738,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
altogether,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
hereinafter,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
refer,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
facility,0.03171247357293869,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
month,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
option,0.010570824524312896,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
rental,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
pay,0.004228329809725159,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
rent,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
limit,0.006342494714587738,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
sum,0.004228329809725159,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
obligate,0.004228329809725159,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
taxis,0.004228329809725159,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
include,0.004228329809725159,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
real,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
estate,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
owner,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
time,0.0021141649048625794,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
prior,0.004228329809725159,1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,1
