clean_words,NF,id,document count
department,0.005813953488372093,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
justice,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
doj,0.00872093023255814,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
make,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
public,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
announcement,0.00872093023255814,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
princess,0.005813953488372093,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
cruise,0.005813953488372093,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
agreement,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
accept,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
responsibility,0.005813953488372093,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
violation,0.005813953488372093,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
area,0.005813953488372093,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
waste,0.005813953488372093,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
water,0.01744186046511628,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
management,0.011627906976744186,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
write,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
share,0.005813953488372093,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
additional,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
information,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
case,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
get,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
ask,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
question,0.005813953488372093,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
matter,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
action,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
employee,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
break,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
company,0.005813953488372093,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
policy,0.00872093023255814,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
violate,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
environmental,0.0377906976744186,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
law,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
although,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
place,0.005813953488372093,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
apparent,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
oversight,0.00872093023255814,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
inadequate,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
clearly,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
show,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
fall,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
short,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
commitment,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
environment,0.005813953488372093,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
sorry,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
take,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
full,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
upon,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
learn,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
news,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
back,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
august,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
proactively,0.0029069767441860465,190ygPnwo6ZKh4H-L0sEOMV7yXtgJ35vG,1
