clean_words,NF,id,document count
maine,0.07407407407407407,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
port,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
authority,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
terminal,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
tractor,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
rfq,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
office,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
freight,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
business,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
service,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
state,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
house,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
station,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
augusta,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
attn,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
matthew,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
burn,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
new,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
england,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
kenworth,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
hall,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
street,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
concord,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
nh,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
john,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
gimbel,0.037037037037037035,1ewqRFxm7ITXNxxDQMJGgBy3W91Wd7IO9,1
maine,0.007032348804500703,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
port,0.0032817627754336614,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
authority,0.001875293014533521,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
terminal,0.01969057665260197,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
tractor,0.01969057665260197,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
request,0.008438818565400843,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
quotation,0.012658227848101266,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
quote,0.0032817627754336614,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
invite,0.00046882325363338024,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
mpa,0.02812939521800281,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
follow,0.004219409282700422,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
equipment,0.0032817627754336614,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
description,0.0028129395218002813,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
four,0.0009376465072667605,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
suitable,0.00046882325363338024,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
operation,0.0023441162681669013,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
marine,0.003750586029067042,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
environment,0.0009376465072667605,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
note,0.0009376465072667605,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
public,0.001875293014533521,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
bid,0.016877637130801686,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
open,0.0009376465072667605,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
vendor,0.0023441162681669013,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
fail,0.00046882325363338024,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
complete,0.001875293014533521,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
submit,0.008438818565400843,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
necessary,0.001875293014533521,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
accurate,0.0009376465072667605,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
requirement,0.008438818565400843,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
consider,0.0046882325363338025,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
non,0.0014064697609001407,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
responsive,0.0009376465072667605,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
reject,0.0009376465072667605,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
build,0.00046882325363338024,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
sheet,0.00046882325363338024,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
must,0.008907641819034223,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
bidder,0.02344116268166901,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
proposal,0.009376465072667605,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
state,0.011251758087201125,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
offer,0.0028129395218002813,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
represent,0.00046882325363338024,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
exactly,0.00046882325363338024,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
manufacturer,0.0023441162681669013,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
provide,0.008907641819034223,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
award,0.008907641819034223,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
performance,0.0009376465072667605,1dBtPTqkJRmC0CmCat7Zj6fw0fJFqM6G9,1
