clean_words,NF,id,document count
september,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
delore,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
bryant,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
contracting,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
officer,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
office,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
acquisition,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
academy,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
infrastructure,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
support,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
team,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
floor,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
mail,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
location,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
new,0.023255813953488372,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
jersey,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
avenue,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
washington,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
dc,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
dear,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
ms,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
briant,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
write,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
request,0.046511627906976744,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
cost,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
extension,0.03488372093023256,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
grant,0.046511627906976744,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
agreement,0.03488372093023256,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
number,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
make,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
american,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
recovery,0.023255813953488372,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
reinvestment,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
act,0.011627906976744186,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
transportation,0.023255813953488372,1M01qnk8iMl2JodSc--Tv9C8b798pT9Vz,1
