id,name,mimeType,size,modifiedTime,path,parent,type,subtype,title,extension
1_tpcRAu8Pnxi1J2NCo9WKEi9yw7QT5NJ,Draft Term Sheet Rev 6 7 12.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,28410,2025-11-19T18:54:05.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/Bar Harbor,Bar Harbor,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Draft Term Sheet Rev 6 7 12,docx
1XslZFW9GSRGUtCIwKvYsJ9eUqLpmtG9q,Bar Harbor Terminal.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,6095909,2025-11-19T18:54:05.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/Bar Harbor,Bar Harbor,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Bar Harbor Terminal,docx
1JSKzI-ZFK1hYaLsgn9mXpcmtzq9hqkEO,CCNE DRAFT Strategic Plan 2017-2026 - MV Clean - 04.20.2017.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,3307850,2025-11-19T18:54:04.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/CCNE Misc,CCNE Misc,application,vnd.openxmlformats-officedocument.wordprocessingml.document,CCNE DRAFT Strategic Plan 2017-2026 - MV Clean - 04.20.2017,docx
1gc7pT5n_2U0QfPi8w4sEhH3DfksYFJla,2017 Discover New England Summit FAM Tour Opportunities.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2490163,2025-11-19T18:54:04.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/CCNE Misc,CCNE Misc,application,vnd.openxmlformats-officedocument.wordprocessingml.document,2017 Discover New England Summit FAM Tour Opportunities,docx
1vXwQjvlZOoHiNsL9OrEl3oSWci2TyUra,CR Mission Europe 2014 renereport.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,32746,2025-11-19T18:54:04.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/CCNE Misc,CCNE Misc,application,vnd.openxmlformats-officedocument.wordprocessingml.document,CR Mission Europe 2014 renereport,docx
1ujGU2IW_5Hv-RPHcLPGbUimbFPO7a2vL,B2B Meeting DetailsHamburg.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,31179,2025-11-19T18:54:04.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/CCNE Misc,CCNE Misc,application,vnd.openxmlformats-officedocument.wordprocessingml.document,B2B Meeting DetailsHamburg,docx
14ubQVQ-kgNgYs06O5pzzDPkjqhY4kv7d,170720 Soli DG RFP 201705110 Response Final.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,235125,2025-11-19T18:54:04.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaine,CruiseMaine,application,vnd.openxmlformats-officedocument.wordprocessingml.document,170720 Soli DG RFP 201705110 Response Final,docx
15XLt9xAv_0RmCeBnPBGUX-Kbm7Ozrd29,Tremont Moratorium.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,36038,2025-11-19T18:54:04.000Z,MPA/Cruise Maine Files/Cruise Maine Files,Cruise Maine Files,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Tremont Moratorium,docx
1u56EfDR35grQ5xmioVI65DBgECNsa2M6,Ideas for Cruise Ship related visits.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,23564,2025-11-19T18:54:04.000Z,MPA/Cruise Maine Files/Cruise Maine Files,Cruise Maine Files,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Ideas for Cruise Ship related visits,docx
1zxqvAQmusPPa046haz3TATqD7ObviOOm,Tremont Moratorium.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,36035,2025-11-19T18:54:04.000Z,MPA/Cruise Maine Files,Cruise Maine Files,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Tremont Moratorium,docx
