id,name,mimeType,size,modifiedTime,path,parent,type,subtype,title,extension
1vc3xcU4_NOawQKtU36Ze3Nyc7JTSLqJe,MWII -Assoc MOU Signed.pdf,application/pdf,1301795,2025-11-19T18:56:41.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,MWII -Assoc MOU Signed,pdf
14FOj3CLfgJlkdFnhbqOW89Iw1vZ7u9IE,NWF_OffshoreWind_Maine.pdf,application/pdf,6756886,2025-11-19T18:56:41.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,NWF_OffshoreWind_Maine,pdf
1rVFdSI8uMhF_7ZWCyqmG7kPs3_fWRY0n,offshore_wind_strategic_plan.pdf,application/pdf,887543,2025-11-19T18:56:41.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,offshore_wind_strategic_plan,pdf
1wCH0Chl9e6O5wEBUDZYCAJBTnP1LytPz,MWII Reception Postcard.pdf,application/pdf,985212,2025-11-19T18:56:41.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,MWII Reception Postcard,pdf
1diZ4jRisbVWlC1IeCorn3tkcpPVwbF_Z,MITCRenewableEnergyInvestmentGuide.pdf,application/pdf,7839306,2025-11-19T18:56:40.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,MITCRenewableEnergyInvestmentGuide,pdf
1bKC4xcTt9KpuNbjKGs2LcOaRoDSTfaF1,me_50m.pdf,application/pdf,1439616,2025-11-19T18:56:39.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,me_50m,pdf
1L5V7WU9SiuqgRMs5xzM1ctwFUNAM_sDv,DOE FOA 410 0314.pdf,application/pdf,6239879,2025-11-19T18:56:39.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,DOE FOA 410 0314,pdf
1KcwK_5IraBjgwBLWAl42mBhEpjokPcfG,College for Me.pdf,application/pdf,126180,2025-11-19T18:56:39.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,College for Me,pdf
15fF49IihKe1CZvuZXMbRB7RTbmlCEjLK,Maine Wind Training Public Summary 01-27-10 (3).pdf,application/pdf,1158102,2025-11-19T18:56:39.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,Maine Wind Training Public Summary 01-27-10 (3),pdf
1xo7-ESSXzqETCuvrBrw4btDAUR5lAegA,LD 1810 report vFINAL.pdf,application/pdf,647716,2025-11-19T18:56:39.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,LD 1810 report vFINAL,pdf
14JY7W8kYCEZq5fN_n8uUaj2_ivqxB-cN,Industrial Products  Svc trifold.pdf,application/pdf,1060774,2025-11-19T18:56:39.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,Industrial Products  Svc trifold,pdf
1sGl5he74EqlBtdKzW-JDvrz5K2QcyCcN,German Wind Industrie 2009.pdf,application/pdf,5742797,2025-11-19T18:56:39.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,German Wind Industrie 2009,pdf
1Z0t8fi5yXYLIwAZ-5ejgiCt_VlViRmZU,Maine Wind Industry Initiative Proposal - VOX Global.pdf,application/pdf,1145825,2025-11-19T18:56:39.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,Maine Wind Industry Initiative Proposal - VOX Global,pdf
1jt_nJrWCeruFgoUx5GlGmUWkO5bB4ubU,LIDAR.pdf,application/pdf,1655093,2025-11-19T18:56:39.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,LIDAR,pdf
1gihzX37nFTckytdSOqQIZcMeaN0yWT5h,Confidential Disclosure .pdf,application/pdf,120876,2025-11-19T18:56:39.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,Confidential Disclosure ,pdf
1hTyZXKYuA1R4KRGXJZHnchJBhJ1p5SPz,2010-09-01 Presentation for Portland_ME.pdf,application/pdf,2199259,2025-11-19T18:56:38.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,2010-09-01 Presentation for Portland_ME,pdf
1qKWXWV-_9DEKyAFsQ3UprwNdBIQ0ig83,2012 MWII annual report.pdf,application/pdf,367599,2025-11-19T18:56:38.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,2012 MWII annual report,pdf
1JdQqFO5Ve83UhhlG7MI5GhVNsEx6d0IW,2010 Company Booth Assignment.pdf,application/pdf,103679,2025-11-19T18:56:38.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,2010 Company Booth Assignment,pdf
1bI1uCmTGHQ8E9whVoyuGeyb1w5F3-RXB,Avanced shipping labels.pdf,application/pdf,38930,2025-11-19T18:56:38.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,Avanced shipping labels,pdf
1VDnlInUrnew3yTnwhQISw8flH0OR6GzI,20091027095053_2MW_rev5(0).pdf,application/pdf,2025321,2025-11-19T18:56:38.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,20091027095053_2MW_rev5(0),pdf
1CZmOzkRNcuJxXOq0G50UbTuV29bAalzN,Ad - AWEA 2012 Show.pdf,application/pdf,1497549,2025-11-19T18:56:38.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,Ad - AWEA 2012 Show,pdf
1mWYV4_WxAFwKqOLGQoFRlpKsDvbnHCEL,2012 Pavilion Layout.pdf,application/pdf,30100,2025-11-19T18:56:38.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,pdf,2012 Pavilion Layout,pdf
1TAfwITEasA-45ewl9Yq31xeEfsLxGL2h,Witman contract.pdf,application/pdf,532801,2025-11-19T18:56:38.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MPA JH,MPA JH,application,pdf,Witman contract,pdf
1QWva397hznsXt30HhfqhGeh1EEhTpeYp,Vail's Tree Service invoice.pdf,application/pdf,86921,2025-11-19T18:56:38.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MPA JH,MPA JH,application,pdf,Vail's Tree Service invoice,pdf
1eIMTtZraS38LeZSsWVQc6iqbozPq2vtd,TM Primary Sponsor - Digital.pdf,application/pdf,1207970,2025-11-19T18:56:37.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MPA JH,MPA JH,application,pdf,TM Primary Sponsor - Digital,pdf
1sGhnrKHai1UD64UZ0PN8HOz5mKVgar7h,Structure Proposal Maine Port Authority - SDG 2009.pdf,application/pdf,689852,2025-11-19T18:56:37.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MPA JH,MPA JH,application,pdf,Structure Proposal Maine Port Authority - SDG 2009,pdf
1YaA9GF8k-KNnR1kpMJ6qqpb6n9ndOEex,NE Navigation Letter-signed (2).pdf,application/pdf,425080,2025-11-19T18:56:36.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MPA JH,MPA JH,application,pdf,NE Navigation Letter-signed (2),pdf
1Akuaq_UIJTjnp6Wq8hmmZ2GBw4hxy_Kl,Port_Strategy_Study.pdf,application/pdf,4225826,2025-11-19T18:56:36.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/MPA JH,MPA JH,application,pdf,Port_Strategy_Study,pdf
