id,name,mimeType,size,modifiedTime,path,parent,type,subtype,title,extension
1wNHdPbtEM3EvFHBm_cWMFtb13VXzSuUI,cruiseshipreport.pdf,application/pdf,1106094,2025-11-19T18:57:57.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Water Quality Testing BH,Water Quality Testing BH,application,pdf,cruiseshipreport,pdf
1vmINqNxa0uXpCxs-aooMB9VxRO7nDzkR,Cruise Ship Report 2015 with Appendices.pdf,application/pdf,595726,2025-11-19T18:57:57.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Water Quality Testing BH,Water Quality Testing BH,application,pdf,Cruise Ship Report 2015 with Appendices,pdf
1X7rjF4u25IsDwA4het-k-C1abOisDPdi,Bar Harbor Cruise Ship Report FINAL Feb 2017.pdf,application/pdf,694536,2025-11-19T18:57:57.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Water Quality Testing BH,Water Quality Testing BH,application,pdf,Bar Harbor Cruise Ship Report FINAL Feb 2017,pdf
1IKtjaq6eeaVkWJdBAINdLudkRWQ38XW0,CSH2OSampling.pdf,application/pdf,432935,2025-11-19T18:57:57.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Water Quality Testing BH,Water Quality Testing BH,application,pdf,CSH2OSampling,pdf
1GNABzl7otJai0GnS9OmShw_PtXrmi7yA,Frenchman Bay Water Quality Testing Report 2012-07-30.pdf,application/pdf,2574100,2025-11-19T18:57:57.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Water Quality Testing BH,Water Quality Testing BH,application,pdf,Frenchman Bay Water Quality Testing Report 2012-07-30,pdf
1oFpgEOzvwqk5jnT1T3kHTbxh14WC4Okw,ACL Letter and Tables May 2017.pdf,application/pdf,352278,2025-11-19T18:57:53.000Z,"MPA/Cruise Maine Files/CruiseMaineUSA Files/Studies, Reports, Eco Impact","Studies, Reports, Eco Impact",application,pdf,ACL Letter and Tables May 2017,pdf
1qItixMeJuVRv2V_b9VwOo_VvNhJcLKn4,airemissionsreport.pdf,application/pdf,184087,2025-11-19T18:57:53.000Z,"MPA/Cruise Maine Files/CruiseMaineUSA Files/Studies, Reports, Eco Impact","Studies, Reports, Eco Impact",application,pdf,airemissionsreport,pdf
1IVbg5CJqs36iQuVYJbS6z1DE-9VkcXJ6,Cruise Canada & New England Symposium 2016 - CruiseTimes July 2016 Page 66-71.pdf,application/pdf,464207,2025-11-19T18:57:52.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Press,Press,application,pdf,Cruise Canada & New England Symposium 2016 - CruiseTimes July 2016 Page 66-71,pdf
18ohg7zt_7jY_7MTnG6CLe79QsM7sCxbO,SeatradeJuly16RediscoveringtheAmericas.pdf,application/pdf,2820971,2025-11-19T18:57:52.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Press,Press,application,pdf,SeatradeJuly16RediscoveringtheAmericas,pdf
1-Ywfb3LL76AJwoylDIFRwk1kzMAsDmlg,CruiseInsightsBHSymposiumstory2015.pdf,application/pdf,184078,2025-11-19T18:57:52.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Press,Press,application,pdf,CruiseInsightsBHSymposiumstory2015,pdf
1dxRUlWtcSn02pZWw6EKRPuWr94XwucBO,CBR_034552_CBR_215-lowres-94-101.pdf,application/pdf,586556,2025-11-19T18:57:52.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Press,Press,application,pdf,CBR_034552_CBR_215-lowres-94-101,pdf
1sBr2O9JcxrO8Rp7KuXzhCeaMnNhyrK97,CBR214_92-101_low.pdf,application/pdf,4682253,2025-11-19T18:57:52.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Press,Press,application,pdf,CBR214_92-101_low,pdf
19nkMZLwSroyojYfL5GCGinRykwsA3JuX,Seatrade916Symposiumworkshop.pdf,application/pdf,2595152,2025-11-19T18:57:52.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Press,Press,application,pdf,Seatrade916Symposiumworkshop,pdf
1VG0np4unkGuMqpf_zAE4BpWedzazqNY_,shipsnotsourceofpollutionMDI.pdf,application/pdf,785358,2025-11-19T18:57:52.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Press,Press,application,pdf,shipsnotsourceofpollutionMDI,pdf
11B4rdxkgOWxX4-daKz8DZtJJH0PxMc4e,Cruise Ship Brochure LOW RES FINAL.pdf,application/pdf,3254481,2025-11-19T18:57:49.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Misc. Port Info,Misc. Port Info,application,pdf,Cruise Ship Brochure LOW RES FINAL,pdf
1UNlCuvUGjLBB1wku3ARyCIwtdGU5u5gY,CMaineCoastalCaucus51315.pdf,application/pdf,10642444,2025-11-19T18:57:50.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Miscellaneous,Miscellaneous,application,pdf,CMaineCoastalCaucus51315,pdf
15O_F-gMiLhMdsiEj7t33gtXY5CUHHJwD,2017portactivityreport.pdf,application/pdf,853574,2025-11-19T18:57:50.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Miscellaneous,Miscellaneous,application,pdf,2017portactivityreport,pdf
1nRU4Fq_E2DAf2HEuMR9sWUD2gbHRPJY_,LD450CruiseMaine3617.pdf,application/pdf,421883,2025-11-19T18:57:48.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Misc Environmental/LD 450,LD 450,application,pdf,LD450CruiseMaine3617,pdf
12bAZsHOmLYVURA4yzraxzp0VhSrkoTqp,environment-research-2017.pdf,application/pdf,2000168,2025-11-19T18:57:48.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Misc Environmental,Misc Environmental,application,pdf,environment-research-2017,pdf
1yC_2CnzBqI1Aysb8HMdLsqhh1jj-3C4i,"Wind Blade Manufacturing, Part I_ M and P innovations optimize production_ COMPOSITESWORLD.pdf",application/pdf,232785,2025-11-19T18:57:47.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/WEI,WEI,application,pdf,"Wind Blade Manufacturing, Part I_ M and P innovations optimize production_ COMPOSITESWORLD",pdf
1RQLImf_mpG6vP3lAPnKr4ITE5Xqt03oI,Lockard_-_Offshore_Wind_Energy_Mass_Presentation_112807.pdf,application/pdf,2946535,2025-11-19T18:57:47.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/WEI,WEI,application,pdf,Lockard_-_Offshore_Wind_Energy_Mass_Presentation_112807,pdf
1Qb5hDJUNdkxZDiUNvdVns5h-R653a7XR,Wind Blade Manufacturing_ Targeting cost efficiency through materials-based strategies_ COMPOSITESWORLD.pdf,application/pdf,139052,2025-11-19T18:57:47.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/WEI,WEI,application,pdf,Wind Blade Manufacturing_ Targeting cost efficiency through materials-based strategies_ COMPOSITESWORLD,pdf
1a6Qzm2cw_fNoYFl38Q0KBEgkF9dXQnVH,"Wind Blade Manufacturing, Part II_ Are thermoplastic composites the future.pdf",application/pdf,217885,2025-11-19T18:57:47.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/WEI,WEI,application,pdf,"Wind Blade Manufacturing, Part II_ Are thermoplastic composites the future",pdf
11uwgRKJMzCl6a_8Skz9g2NG_-lO_VlSN,PB 13 PG 64.pdf,application/pdf,405751,2025-11-19T18:57:48.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Yard 8,Yard 8,application,pdf,PB 13 PG 64,pdf
17q63LASATL369k2p80DWhTtuBg-ssNMi,PB 13 PG 7.pdf,application/pdf,174709,2025-11-19T18:57:48.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Yard 8,Yard 8,application,pdf,PB 13 PG 7,pdf
14O8iv3eSwvIqlJFTElFjagNY5G1d7hbm,PB 100 PG 27.pdf,application/pdf,159595,2025-11-19T18:57:48.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Yard 8,Yard 8,application,pdf,PB 100 PG 27,pdf
