id,name,mimeType,size,modifiedTime,path,parent,type,subtype,title,extension
1hW6U84HtwANSXGtOixw4AzkSTYvUFLr9,RocklandPort Profile.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,44530,2025-11-19T18:55:20.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Misc. Port Info,Misc. Port Info,application,vnd.openxmlformats-officedocument.wordprocessingml.document,RocklandPort Profile,docx
1dgnY282GlEIgcoPKTY0GaMbVen9K1Nx2,Portlandportprofile.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,49311,2025-11-19T18:55:20.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Misc. Port Info,Misc. Port Info,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Portlandportprofile,docx
1LAB8BhCJemd3Ff0J3ijX-wfiQcJgdNxS,BHPort Profile.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,44712,2025-11-19T18:55:18.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Misc. Port Info,Misc. Port Info,application,vnd.openxmlformats-officedocument.wordprocessingml.document,BHPort Profile,docx
1d8_XR78J0qgr8CWOJV_5CLcFZ5KgOo1g,Bangor chamber newsletter  searsport bond.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,23547,2025-11-19T18:55:15.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport/Searsport FOAA,Searsport FOAA,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Bangor chamber newsletter  searsport bond,docx
17dWN_2IL2DoehOKzu72_iqxsWJN9ijyi,millinocket letter of support for searsport dredging.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,34980,2025-11-19T18:55:15.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport/Searsport FOAA,Searsport FOAA,application,vnd.openxmlformats-officedocument.wordprocessingml.document,millinocket letter of support for searsport dredging,docx
188dXUnppQ42Fyk3XZxYGG0TRHsGwLI5A,Searsport RFEI.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,7360372,2025-11-19T18:55:13.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport,Searsport,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Searsport RFEI,docx
1JQvDhHD_hPt63DaS6CHgHVIkFOxuWTGz,Searsport RFEI v2  080509 Final.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,3962716,2025-11-19T18:55:11.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport,Searsport,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Searsport RFEI v2  080509 Final,docx
1LZLUSlIFN6nsMBRXTvK2_M-ALKZLm4Cy,Searsport RFEI vJH  080509 Final.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,4033060,2025-11-19T18:55:11.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport,Searsport,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Searsport RFEI vJH  080509 Final,docx
1YKrHicA0mgwkbg-TJ6kaobuclzp_gY7u,Questions on Mack Point Searsport dredging.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,24962,2025-11-19T18:55:10.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport,Searsport,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Questions on Mack Point Searsport dredging,docx
1ZdeA0GvbZmh---NHHRIaY0rS2M-KZADZ,Notifications for Public Information Meeting for Searsport Channel Improvement Project.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,21272,2025-11-19T18:55:08.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport,Searsport,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Notifications for Public Information Meeting for Searsport Channel Improvement Project,docx
10hmywhwHudIDXJXXDIZhmJ9Au3PkB6tW,DEP petition.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,20401,2025-11-19T18:55:06.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport,Searsport,application,vnd.openxmlformats-officedocument.wordprocessingml.document,DEP petition,docx
1wk4LPbJ6hPEORDJWA1GgBlgMbutX8UJ_,An Alternative that Isn.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,22399,2025-11-19T18:55:06.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport,Searsport,application,vnd.openxmlformats-officedocument.wordprocessingml.document,An Alternative that Isn,docx
1IbOU1TkY7cNmZzHKZHDiv9wmiOmmh5pQ,October 3 2011 Report to the Board.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,26917,2025-11-19T18:55:18.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/TIGER,TIGER,application,vnd.openxmlformats-officedocument.wordprocessingml.document,October 3 2011 Report to the Board,docx
1eDul5z_JSggO8QzPiRF2TGc1kce_LKJb,TIGER Term Sheet MAINE 05-14-10 - V 2.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,783152,2025-11-19T18:55:18.000Z,MPA/Cruise Maine Files/Cruise Maine Files/CruiseMaineUSA Files/Files/TIGER,TIGER,application,vnd.openxmlformats-officedocument.wordprocessingml.document,TIGER Term Sheet MAINE 05-14-10 - V 2,docx
