id,name,mimeType,size,modifiedTime,path,parent,type,subtype,title,extension
1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,Policy Number 100.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,23466,2025-11-19T18:53:10.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/MPA JH,MPA JH,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Policy Number 100,docx
1A8Bph7_LaMBpP9rsLF74-K7p5ti3fvRK,OPEGA Report.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,23147,2025-11-19T18:53:09.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/MPA JH,MPA JH,application,vnd.openxmlformats-officedocument.wordprocessingml.document,OPEGA Report,docx
19egeADnpEYURpVsdYZGsa5IGvPbXzvMB,MPA MRRP letter.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,514712,2025-11-19T18:53:07.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/MPA JH,MPA JH,application,vnd.openxmlformats-officedocument.wordprocessingml.document,MPA MRRP letter,docx
1PUHY9TtzMqH0Xc74shFz_1Neqngm4Huq,MPA - CEI letter.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,26548,2025-11-19T18:53:05.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/MPA JH,MPA JH,application,vnd.openxmlformats-officedocument.wordprocessingml.document,MPA - CEI letter,docx
1gFr8o9eT60Qu3XCnS5BqOlITzRWUGQU_,Connors letter.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,20627,2025-11-19T18:52:56.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/MPA JH,MPA JH,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Connors letter,docx
13Gx5LFFetljtFy3DZJY_nAsbzKD3HPyF,Eimskip MMM.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,37242,2025-11-19T18:52:56.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/MPA JH,MPA JH,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Eimskip MMM,docx
11ntv6eUQVzcJdwKFWA7fObN3GhdlZfIM,150518 Trade Day Text.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,25332,2025-11-19T18:52:54.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/MPA JH,MPA JH,application,vnd.openxmlformats-officedocument.wordprocessingml.document,150518 Trade Day Text,docx
1kXGT-BbD3_XI6jgP5amXUpdh-tnkCTbu,An Alternative that JMS JH edits.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,24033,2025-11-19T18:52:54.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/MPA JH,MPA JH,application,vnd.openxmlformats-officedocument.wordprocessingml.document,An Alternative that JMS JH edits,docx
198nHkke0ihJHx-gyCsufvJu9m2JgWTxC,Report to the Board 5-24-2016.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,35046,2025-11-19T18:52:53.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/MPA Board,MPA Board,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Report to the Board 5-24-2016,docx
1B-FZk_jgFAMlwjYZK2Il6WsQKI2DybCI,"Memorandum for the Board - April 22, 2012.docx",application/vnd.openxmlformats-officedocument.wordprocessingml.document,31257,2025-11-19T18:52:53.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/MPA Board,MPA Board,application,vnd.openxmlformats-officedocument.wordprocessingml.document,"Memorandum for the Board - April 22, 2012",docx
1Y_7XvZB_78GLxrqhfe1mpTOe_HoL4XCm,MPA RETREAT_121212final  docx.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,26433,2025-11-19T18:52:53.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/MPA Board,MPA Board,application,vnd.openxmlformats-officedocument.wordprocessingml.document,MPA RETREAT_121212final  docx,docx
1PRvzo1UzWrVJVJ4CvL27NrYsR2ENu_Sm,Memorandum for the Board - May 24 2013.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,23174,2025-11-19T18:52:53.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/MPA Board,MPA Board,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Memorandum for the Board - May 24 2013,docx
1a4GnIlGWGgG5TU9GO_ohcHTxox8vUiv8,Draft_Minutes_June_2011 doc.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,144745,2025-11-19T18:52:52.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/MPA Board,MPA Board,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Draft_Minutes_June_2011 doc,docx
1phLsDdAmtD68GlgGQ09yTzmjb9kmmreG,June 26 Memorandum for the Board.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,25125,2025-11-19T18:52:52.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/MPA Board,MPA Board,application,vnd.openxmlformats-officedocument.wordprocessingml.document,June 26 Memorandum for the Board,docx
1emSs_IXejNrFLq9-3X0UajNkdcVcHaOj,January 28 2014 Report to the Board.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,29872,2025-11-19T18:52:52.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/MPA Board,MPA Board,application,vnd.openxmlformats-officedocument.wordprocessingml.document,January 28 2014 Report to the Board,docx
14aPgcVsY65IB0FrHgIZFLRsO_oyhGCjs,160310 Board Meeting Notes.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,62765,2025-11-19T18:52:51.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/MPA Board,MPA Board,application,vnd.openxmlformats-officedocument.wordprocessingml.document,160310 Board Meeting Notes,docx
1JJV8UJ6LaHXjLfDYBfyrPgeLAzdFRoz5,Pingree says federal grant will help design new vessel to provide cargo service for Portland.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,20215,2025-11-19T18:52:46.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/Marine Highway,Marine Highway,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Pingree says federal grant will help design new vessel to provide cargo service for Portland,docx
1wBDykbBeKH9qJ8VjRh4prNeA4eG0S1Pn,Cooperative Agreement - Maine DOT V2  081012(ScottJay).docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,64752,2025-11-19T18:52:45.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/Marine Highway,Marine Highway,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Cooperative Agreement - Maine DOT V2  081012(ScottJay),docx
1gB_ui0NsVOFVHfyPCP4Y8FooTQloq5vp,NEMHP Coop Close out.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,21205,2025-11-19T18:52:45.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/Marine Highway,Marine Highway,application,vnd.openxmlformats-officedocument.wordprocessingml.document,NEMHP Coop Close out,docx
1xD5FG65AFvXtjCgG-I_ie4Aj-2dQfwvP,2012 5-4 MARAD Visit Itinerary.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,71657,2025-11-19T18:52:44.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/Marine Highway,Marine Highway,application,vnd.openxmlformats-officedocument.wordprocessingml.document,2012 5-4 MARAD Visit Itinerary,docx
1ftrtlM9h0XmB0KQYNnRGdGp2PgtiP9xn,IMT Engineering Design Issues.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,23506,2025-11-19T18:52:25.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/IMT,IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,IMT Engineering Design Issues,docx
1ZwSB5CFVPeuoLUqH-HTpMrWc_D80ZbOb,Rail Switching Agreement final.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,36555,2025-11-19T18:52:25.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/IMT,IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Rail Switching Agreement final,docx
1SiMNxrHRSeQnvigRkgOSp-hKsb-c5Atv,Ports America Terminal Damage Timeline.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,22322,2025-11-19T18:52:25.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/IMT,IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Ports America Terminal Damage Timeline,docx
13pKdBpuH6DZYhjxYvWNH6W9BIxMb7PCw,Interview.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,21939,2025-11-19T18:52:25.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/IMT,IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Interview,docx
1IYNIEHg5T8lSvOAuAS5ex_q8cPZDI_My,RFQ Questions.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,31752,2025-11-19T18:52:17.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/Cold Storage,Cold Storage,application,vnd.openxmlformats-officedocument.wordprocessingml.document,RFQ Questions,docx
1ayqJnY8ZxmcteO2xzWTL6DNPIaPYdF3o,HAL Letter.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,20892,2025-11-19T18:52:21.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/CruiseMaine,CruiseMaine,application,vnd.openxmlformats-officedocument.wordprocessingml.document,HAL Letter,docx
1mSBX94YlCpXJQ3zc2hSe-0j1JR0Sa-Jn,Comments Matrix - Open House for Bar Harbor Ferry Terminal.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,34276,2025-11-19T18:52:20.000Z,MPA/Cruise Maine/CruiseMaineUSA Files/Files/CruiseMaine,CruiseMaine,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Comments Matrix - Open House for Bar Harbor Ferry Terminal,docx
