id,name,mimeType,size,modifiedTime,path,parent,type,subtype,title,extension
1rrStMN_PH7JYu20XE0yxdrbtFcN4ItEk,Bangor chamber newsletter  searsport bond.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,20712,2025-11-19T18:51:58.000Z,MPA/Cruise Maine/Cruise Maine Files/CruiseMaineUSA Files/Files/Searsport,Searsport,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Bangor chamber newsletter  searsport bond,docx
1nEbeSKQF7bsyx1ALahzhihCHx9X9NhBA,EHP Final Screening Memo 10-14-09 Clarification.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,49622,2025-11-19T18:51:58.000Z,MPA/Cruise Maine/Cruise Maine Files/CruiseMaineUSA Files/Files/PSGP,PSGP,application,vnd.openxmlformats-officedocument.wordprocessingml.document,EHP Final Screening Memo 10-14-09 Clarification,docx
13CIPP4MW2qpC7fyOdYnX6-GyiQdV36K8,International Marine Terminal RFP.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1305950,2025-11-19T18:51:58.000Z,MPA/Cruise Maine/Cruise Maine Files/CruiseMaineUSA Files/Files/Portland-IMT,Portland-IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,International Marine Terminal RFP,docx
1dbLAqxCeFIQkG9G4P9gqh7QW5dmX2YbM,Reach Stacker Sales Contract.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,154168,2025-11-19T18:51:58.000Z,MPA/Cruise Maine/Cruise Maine Files/CruiseMaineUSA Files/Files/Portland-IMT,Portland-IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Reach Stacker Sales Contract,docx
1_2v6XcT5GvE2FGoeQECNh5e8cNhXOMT7,reach stacker sole source justification.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,21201,2025-11-19T18:51:58.000Z,MPA/Cruise Maine/Cruise Maine Files/CruiseMaineUSA Files/Files/Portland-IMT,Portland-IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,reach stacker sole source justification,docx
1hdIm5a1NRQ9IUELo5Tm-aW6iA-PotSsw,PSG Funding Summary.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,18362,2025-11-19T18:51:58.000Z,MPA/Cruise Maine/Cruise Maine Files/CruiseMaineUSA Files/Files/Portland-IMT,Portland-IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,PSG Funding Summary,docx
18SXtBq2n3G-b4dVEgT69rbNE51Vd0RVE,IMT Req for Proposal T&B Rev 7.22.11.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1293127,2025-11-19T18:51:57.000Z,MPA/Cruise Maine/Cruise Maine Files/CruiseMaineUSA Files/Files/Portland-IMT,Portland-IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,IMT Req for Proposal T&B Rev 7.22.11,docx
1d4kg-GQApx1_VX0NlP8oEdaACRS8k6J2,CAD Cell Fact Sheet Final Oct 09.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,33517,2025-11-19T18:51:56.000Z,MPA/Cruise Maine/Cruise Maine Files/CruiseMaineUSA Files/Files/Portland-IMT,Portland-IMT,application,vnd.openxmlformats-officedocument.wordprocessingml.document,CAD Cell Fact Sheet Final Oct 09,docx
1GrabVa3xvUGI1YnPLj7shumJ6PGHcM99,Draft Agenda StatoilHydro 9 27 09.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,21117,2025-11-19T18:51:29.000Z,MPA/Cruise Maine/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Draft Agenda StatoilHydro 9 27 09,docx
1lL75z90AaCtzJ2rdojXvoAy62SpMvP0X,Maine Industry Associations Commit to Renewable Energy Economic Development Agreement.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,19677,2025-11-19T18:51:29.000Z,MPA/Cruise Maine/Cruise Maine Files/CruiseMaineUSA Files/Files/MWII,MWII,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Maine Industry Associations Commit to Renewable Energy Economic Development Agreement,docx
