clean_words,NF,id,document count
policy,0.040106951871657755,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
number,0.00267379679144385,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
enact,0.00267379679144385,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
november,0.00267379679144385,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
executive,0.016042780748663103,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
director,0.029411764705882353,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
report,0.008021390374331552,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
responsibility,0.00267379679144385,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
ed,0.0053475935828877,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
appoint,0.00267379679144385,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
serve,0.0053475935828877,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
pleasure,0.00267379679144385,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
board,0.034759358288770054,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
chief,0.00267379679144385,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
officer,0.00267379679144385,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
authority,0.0374331550802139,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
directly,0.00267379679144385,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
position,0.00267379679144385,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
subject,0.00267379679144385,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
political,0.008021390374331552,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
appointment,0.00267379679144385,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
fill,0.00267379679144385,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
person,0.00267379679144385,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
background,0.00267379679144385,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
management,0.0053475935828877,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
port,0.026737967914438502,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
similar,0.00267379679144385,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
transportation,0.0053475935828877,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
organization,0.00267379679144385,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
one,0.00267379679144385,1MzAon4M7erLKohsnOTYDM6ggRxvsoJUz,1
